case,location,fatalities,injured,total_victims,place,age_of_shooter,race,gender,type,year
SunTrust bank shooting,"Sebring, Florida",5,0,5,Workplace,21,White,M,Mass,2019
Mercy Hospital shooting,"Chicago, Illinois",3,0,3,Workplace,32,Latino,M,Mass,2018
Thousand Oaks nightclub shooting,"Thousand Oaks, California",12,22,34,Other,28,Other,M,Mass,2018
Tree of Life synagogue shooting,"Pittsburgh, Pennsylvania",11,6,17,Religious,46,White,M,Mass,2018
Rite Aid warehouse shooting,"Perryman, Maryland",3,3,6,Workplace,26,Black,F,Mass,2018
T&T Trucking shooting,"Bakersfield, California",5,0,5,Workplace,54,Latino,M,Spree,2018
Fifth Third Center shooting,"Cincinnati, Ohio",3,2,5,Workplace,29,Latino,M,Mass,2018
Capital Gazette shooting,"Annapolis, Maryland",5,2,7,Workplace,38,White,M,Mass,2018
Santa Fe High School shooting,"Santa Fe, Texas",10,13,23,School,17,White,M,Mass,2018
Waffle House shooting,"Nashville, Tennessee",4,4,8,Other,29,White,M,Mass,2018
Yountville veterans home shooting,"Yountville, California",3,0,3,Workplace,36,Asian,M,Mass,2018
Marjory Stoneman Douglas High School shooting,"Parkland, Florida",17,17,34,School,19,White,M,Mass,2018
Pennsylvania carwash shooting,"Melcroft, Pennsylvania",4,1,5,Other,28,White,M,Mass,2018
Rancho Tehama shooting spree,"Rancho Tehama, California",5,10,15,Other,44,White,M,Spree,2017
Texas First Baptist Church massacre,"Sutherland Springs, Texas",26,20,46,Religious,26,White,M,Mass,2017
Walmart shooting in suburban Denver,"Thornton, Colorado",3,0,3,Other,47,White,M,Mass,2017
Edgewood businees park shooting,"Edgewood, Maryland",3,3,6,Workplace,37,Black,M,Mass,2017
Las Vegas Strip massacre,"Las Vegas, Nevada",58,546,604,Other,64,White,M,Mass,2017
San Francisco UPS shooting,"San Francisco, California",3,2,5,Workplace,38,Asian,M,Mass,2017
Pennsylvania supermarket shooting,"Tunkhannock, Pennsylvania",3,0,3,Workplace,24,White,M,Mass,2017
Florida awning manufacturer shooting,"Orlando, Florida",5,0,5,Workplace,45,Other,M,Mass,2017
Rural Ohio nursing home shooting,"Kirkersville, Ohio",3,0,3,Workplace,43,White,M,Mass,2017
Fresno downtown shooting,"Fresno, California",3,0,3,Other,39,Black,M,Mass,2017
Fort Lauderdale airport shooting,"Fort Lauderdale, Florida",5,6,11,Airport,26,Latino,M,Mass,2017
Cascade Mall shooting,"Burlington, Washington",5,0,5,Other,20,Other,M,Mass,2016
